"filename", "language", "Python", "comment", "blank", "total"
"/home/danvic/JARVIS/Jarvis/core/executor.py", "Python", -24, 14, 20, 10
"/home/danvic/JARVIS/Jarvis/core/intent.py", "Python", 11, 3, 0, 14
"/home/danvic/JARVIS/Jarvis/core/main.py", "Python", -1, 0, 0, -1
"/home/danvic/JARVIS/Jarvis/core/params_resolver.py", "Python", -8, -18, 6, -20
"/home/danvic/JARVIS/Jarvis/core/router.py", "Python", 13, -1, -2, 10
"/home/danvic/JARVIS/Jarvis/main.py", "Python", 4, 0, 1, 5
"/home/danvic/JARVIS/Jarvis/plugins/loader.py", "Python", 5, 0, 6, 11
"/home/danvic/JARVIS/Jarvis/plugins/registry.py", "Python", 0, 0, -1, -1
"/home/danvic/JARVIS/Jarvis/plugins_available/web/models.py", "Python", 4, 3, 1, 8
"/home/danvic/JARVIS/Jarvis/plugins_available/web/plugin.py", "Python", 90, 3, 24, 117
"Total", "-", 94, 4, 55, 153
